Model,Accuracy,Precision,Recall,F1
logistic_regression,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612
random_forest,0.9,0.9023569023569024,0.9,0.899749373433584
svm,0.9666666666666667,0.9696969696969697,0.9666666666666667,0.9665831244778612
